TIMESTAMP,AZIMUTH,DISTANCE,SIGNAL_STRENGTH
-1,18.812,48,183
-1,22.062,49,175
-1,25.187,39,167
-1,28.312,37,167
-1,30.875,35,191
-1,34.312,38,159
-1,37.25,20,175
-1,40.375,17,183
-1,50.875,17,70
-1,53.437,17,191
-1,56.0,15,191
-1,58.625,17,191
-1,61.187,15,199
-1,63.562,17,199
-1,66.687,23,183
-1,69.812,20,159
-1,72.937,15,175
-1,81.5,18,84
-1,94.062,24,40
-1,102.062,45,98
-1,104.562,54,191
-1,107.312,59,191
-1,110.187,55,191
-1,112.75,48,191
-1,116.062,66,159
-1,125.0,50,84
-1,130.875,54,175
-1,133.437,63,191
-1,136.187,65,191
-1,138.937,64,191
-1,141.687,67,191
-1,144.437,70,191
-1,147.125,71,199
-1,149.5,74,191
-1,152.062,81,191
-1,164.812,155,30
-1,177.5,1,50
-1,180.187,139,199
-1,182.937,143,191
-1,186.187,222,183
-1,189.125,163,183
-1,192.562,199,175
-1,202.375,275,72
-1,205.5,339,183
-1,208.062,345,191
-1,210.562,346,191
-1,213.125,350,191
-1,215.875,346,191
-1,218.437,351,191
-1,221.0,354,191
-1,223.812,364,191
-1,226.562,376,191
-1,229.312,383,183
-1,232.062,370,183
-1,234.875,347,191
-1,237.625,325,191
-1,240.375,308,191
-1,248.25,82,98
-1,250.812,72,183
-1,253.562,66,191
-1,256.312,66,191
-1,259.062,67,191
-1,261.812,64,191
-1,264.687,64,183
-1,267.25,59,191
-1,269.937,62,191
-1,272.687,59,183
-1,275.375,61,191
-1,277.937,66,191
-1,280.687,196,191
-1,283.0,194,199
-1,285.187,196,199
-1,287.375,192,199
-1,289.625,194,199
-1,291.812,195,199
-1,294.062,194,199
-1,296.625,196,199
-1,299.0,194,199
-1,301.562,197,199
-1,304.187,197,199
-1,306.375,203,199
-1,308.562,205,199
-1,311.125,207,199
-1,313.687,211,199
-1,316.437,212,199
-1,319.187,194,199
-1,321.562,176,199
-1,324.125,163,191
-1,326.687,155,199
-1,329.25,158,199
-1,332.937,171,183
-1,340.937,162,98
-1,344.625,151,159
-1,347.75,147,183
-1,350.625,138,175
-1,353.75,135,175
-1,357.062,132,183
-1,359.812,131,183
1504844544956,2.687,125,175
-1,5.437,121,183
-1,7.812,111,199
-1,16.062,49,98
-1,19.375,40,175
-1,22.437,45,167
-1,25.937,45,167
-1,29.062,35,175
-1,31.625,38,199
-1,35.25,39,167
-1,38.375,25,175
-1,44.187,12,167
-1,52.312,17,98
-1,54.937,20,191
-1,57.5,17,191
-1,60.062,18,199
-1,62.5,18,199
-1,64.687,10,199
-1,68.0,19,167
-1,70.937,25,175
-1,74.562,30,159
-1,83.5,14,84
-1,95.875,13,45
-1,102.75,55,112
-1,105.312,56,191
-1,108.375,57,191
-1,111.312,54,191
-1,114.812,60,183
-1,118.437,67,183
-1,126.125,47,98
-1,134.687,65,84
-1,137.25,67,183
-1,140.0,69,191
-1,142.75,69,199
-1,145.312,71,199
-1,148.062,69,191
-1,150.812,76,191
-1,153.562,96,191
-1,166.437,1,45
-1,178.937,140,35
-1,181.5,152,183
-1,183.687,141,199
-1,186.75,225,175
-1,189.625,165,183
-1,193.062,200,175
-1,196.187,173,159
-1,203.437,323,91
-1,206.0,338,191
-1,208.562,345,191
-1,211.125,347,191
-1,213.687,349,191
-1,216.437,348,191
-1,219.0,353,191
-1,221.75,354,191
-1,224.312,364,191
-1,226.937,372,191
-1,229.5,380,191
-1,232.062,374,191
-1,234.687,346,191
-1,237.437,327,191
-1,240.187,305,191
